Name;Degree
Bogies;1
Treacle;1
Dundee;1
Sorcerer;2
Dad;7
sagely;9
pompously;9
Lucky;1
Award;1
W-what;1
Day;1
Celebrity;1
Voldemort;14
Mrs.;8
I'd;18
blankly;8
Defense;3
team;1
Petunia;11
George;37
Levi-o-sa;1
Willow;2
Weasley;51
past;2
R-Riddle;1
Invisibility;1
Goyle;16
Moony;2
Red;1
Head;12
Gilderoy;1
Mudbloods;2
Ones;1
ever;1
Neville;46
Charlie;4
Professor;88
never;4
here;1
Angelina;8
Mr;2
alone;2
boy;2
Bludger;7
Hagrid;115
Dean;17
Fawkes;4
Fluffy;1
Please...they;1
Percy;45
Griphook;2
Pomfrey;13
Devil;2
family;1
suddenly;12
Crookshanks;2
young;1
Nick;21
fearfully;2
Spinnet;1
Tom;5
It'd;2
Express;1
June;1
They'd;2
Vernon;10
Hogwarts;10
Erised;1
Ministry;7
grimly;2
Granger;6
Wednesday;1
Quaffle;5
sharply;18
enviously;6
Seamus;16
Bath;1
Tonight;1
fiercely;17
proof;1
Quidditch;7
Ernie;16
Wizard;2
Mr.;10
Wizards;1
Dippet;2
something;4
Lord;1
Christmas;2
Gryffindor;20
Warrington;1
Millicent;5
scornfully;7
instead;1
furiously;12
Don;5
Hermione;125
Hooch;22
disbelievingly;6
Arithmancy;8
Dobby;33
Buckbeak;3
Myrtle;31
Eye;1
coolly;8
Lupin;22
Dudley;21
Cho;8
still;3
Rules;1
Know-Who;1
McGonagall;10
Charm;3
Who'd;1
Boggart;1
wantin;1
Stalagmite;1
Mother;1
Ern;5
desperately;5
always;2
reasonably;2
Potter;14
Squib;2
Weekly;1
Arts;1
Snare...what;1
D'yeh;1
exasperated;11
Firebolt;2
really;2
Scabbers;6
No...you;1
Filch;19
seriously;1
Stone;13
Gawd;1
You-Know-Who;11
darkly;9
Aragog;6
Firstly;5
Gringotts;3
thing;7
uncertainly;6
Mirror;2
Brazil;1
already;2
Beaters;2
delicately;6
Black;8
He-Who-Must-Not-Be-Named;2
thoughtfully;13
Sirius;1
Minerva;1
sadly;8
Monday;2
Parseltongue;4
Patil;8
Uncle;30
Marge;4
friend;3
Muggles;7
Justin;10
Mortlake;1
Ridgeback;2
delightedly;2
Diggle;5
idly;5
Colin;27
Fletcher;1
Dursleys;7
bet;1
Oliver;2
urgently;9
Father;3
gently;20
Wizardry;4
dreamily;4
He'd;9
Forge;1
Mail;1
Chaser;9
Power;1
Hannah;13
Dementors;2
Bane;4
Minister;1
Hall;16
opposite;4
headmaster;1
letter;1
nothing;8
Comet;1
Tha;1
Chamber;9
Hedwig;3
Mommy;2
Hippogriff;1
Howler;2
briskly;9
Ollivander;1
Norris;6
Hogsmeade;6
thirteen-year-old;11
Hornby;1
earth;5
Hat;5
Fang;9
Fred;40
only;2
Parselmouth;8
excitedly;3
Snitch;4
heartily;11
Dissendium;3
Magic;10
nearly;3
Flamel;4
tonelessly;6
Lockhart;53
anxiously;7
Alley;1
twice;4
softly;2
Draco;3
Knuts;1
miserably;5
hoarsely;10
flatly;11
matter-of-factly;5
tersely;8
Nimbus;2
away;1
O.W.L.s;1
weapons;1
airily;9
stoutly;8
Johnson;1
timidly;8
Malfoy;81
Galleons;1
abruptly;12
Yeh;3
last;1
Parkinson;7
loudly;8
We'd;3
Slytherin;33
Cornelius;2
Mandrakes;8
Muggle;9
Hufflepuff;7
Lily;2
patiently;9
Revealer;1
Remembrall;10
quickly;5
breathlessly;3
Protection;1
slowly;13
Ripper;1
Care;1
That'd;2
Dumbledore;79
She'd;1
Dragon;1
Night;1
Sir;16
Flich;5
Force;1
impatiently;9
voice;5
Miss;2
Agrippa;2
Better;3
Yeah...he;1
Wood;49
Bludgers;1
stubbornly;4
Albus;1
Snape;49
triumphantly;5
Third;1
Crystal-gazing;1
Prophet;7
student;1
Order;1
pleasantly;13
Perkins;1
Club;1
Finch-Fletchley;12
just;1
heavily;4
Animagus;1
Body-Bind;1
Ravenclaw;5
needin;1
Well...Voldemort;1
other;1
Flint;20
earnestly;5
Hermes;1
Padfoot;1
casually;12
James;1
angrily;17
enthusiastically;8
Aunt;10
politely;6
Salazar;3
Bott;1
Piers;2
Penelope;1
London;7
Fubster;1
Little;1
Perry;11
smoothly;7
Creevey;1
proudly;5
back;1
Mason;7
Quirrell;15
Mars;2
Longbottom;1
Crabbe;8
Lee;34
Severus;2
Heaven;1
Norbert;3
Bill;4
Lucius;2
Sh-she;1
shakily;7
coldly;3
Romania;1
You'd;4
Ron;198
Committee;2
automatically;11
Katie;1
hotly;11
quietly;11
Baron;2
calmly;6
Beater;2
constantly;1
wonderingly;1
Firenze;4
way;1
Errol;5
shrilly;4
Stan;7
Hags;4
Harry;241
nervously;5
Lacewing;1
Century;1
House;2
Cauldron;1
Master;2
brightly;3
Dursley;17
grumpily;8
mysteriously;1
Ginny;23
stiffly;9
again;13
dimly;13
Transfiguration;4
gloomily;5
book;1
suspiciously;11
Lady;8
Great;2
Hunt;4
faintly;10
Future;8
fervently;4
Flitwick;2
Fancy;1
Fame;1
Relief;13
